code,name,date,open,high,low,close,volume,amount
601857,中国石油,2024-08-09,7.90636704,8.09066464,7.88793728,8.05380512,159988641,1394823875.66
601857,中国石油,2024-08-12,8.04459024,8.1090944,7.98930096,8.02616048,90947914,793562496.92
601857,中国石油,2024-08-13,8.09987952,8.18281344,8.00773072,8.09987952,126101491,1105109223.54
601857,中国石油,2024-08-14,8.02616048,8.09987952,7.98008608,8.09066464,78073202,682838064.5
601857,中国石油,2024-08-15,8.06302,8.21045808,8.02616048,8.16438368,113933232,1007999859.41
601857,中国石油,2024-08-16,8.18281344,8.3394664,8.17359856,8.30260688,126854614,1139101885.07
601857,中国石油,2024-08-19,8.27496224,8.40397056,8.22888784,8.35789616,105618802,955618123.42
601857,中国石油,2024-08-20,8.33025152,8.37632592,8.11830928,8.19202832,140532524,1254182355.16
601857,中国石油,2024-08-21,8.14595392,8.22888784,8.1090944,8.22888784,84565539,750297730.36
601857,中国石油,2024-08-22,8.18281344,8.23810272,8.11830928,8.2012432,87891299,781318036.85
601857,中国石油,2024-08-23,8.21967296,8.37632592,8.16438368,8.22888784,95981506,859537311.94
601857,中国石油,2024-08-26,8.30260688,8.37632592,8.21967296,8.3394664,113732644,1022443900.73
601857,中国石油,2024-08-27,8.39475568,8.6159128,8.3394664,8.58826816,217449974,2011545765.62
601857,中国石油,2024-08-28,8.523764,8.6159128,8.40397056,8.45925984,136048440,1254670844.48
601857,中国石油,2024-08-29,8.42240032,8.44083008,8.14595392,8.2012432,145857294,1305475809.69
601857,中国石油,2024-08-30,8.2012432,8.33025152,8.1090944,8.22888784,154953162,1385639932.17
601857,中国石油,2024-09-02,8.1551688,8.35789616,8.0169456,8.30260688,145210793,1300193606.62
601857,中国石油,2024-09-03,8.27496224,8.33025152,7.98930096,8.02616048,164742300,1443072087.56
601857,中国石油,2024-09-04,7.82343312,7.82343312,7.52855696,7.602276,234215259,1939151035.61
601857,中国石油,2024-09-05,7.56541648,7.62992064,7.4179784,7.49169744,165342472,1342872183.16
601857,中国石油,2024-09-06,7.47326768,7.56541648,7.40876352,7.40876352,111047936,901374546.41
601857,中国石油,2024-09-09,7.36268912,7.371904,7.10467248,7.20603616,183015842,1428680734.48
601857,中国石油,2024-09-10,7.2336808,7.3258296,7.20603616,7.2797552,125534650,989432352.98
601857,中国石油,2024-09-11,7.11388736,7.15996176,6.9572344,7.141532,202397741,1545930430.94
601857,中国石油,2024-09-12,7.12310224,7.25211056,7.08624272,7.22446592,133186801,1037762145.12
601857,中国石油,2024-09-13,7.26132544,7.35347424,7.26132544,7.2797552,129717194,1029572480.89
601857,中国石油,2024-09-18,7.28897008,7.4640528,7.28897008,7.42719328,117442201,941347769.1
601857,中国石油,2024-09-19,7.4840334,7.4840334,7.2945642,7.4366661,115368818,899950255.84
601857,中国石油,2024-09-20,7.47455994,7.58824146,7.41771918,7.49350686,133488080,1058130224.57
601857,中国石油,2024-09-23,7.49350686,7.66402914,7.44613956,7.58824146,96586603,772046983.91
601857,中国石油,2024-09-24,7.68297606,7.92928602,7.61666184,7.91981256,183936323,1513319694.14
601857,中国石油,2024-09-25,8.06191446,8.20401636,7.92928602,7.9577064,212473516,1805556498.69
601857,中国石油,2024-09-26,7.8629718,8.0050737,7.8156045,7.94823294,295752968,2464797429.72
601857,中国石油,2024-09-27,7.94823294,7.9577064,7.84402488,7.93875948,179409373,1496451827.38
